stem;ind3sg;ind3pl;prescont3sg;prescont3pl
express;expresses;express;is expressing;are expressing
hypersensitize;hypersensitizes;hypersensitize;is hypersensitizing;are hypersensitizing
stylize;stylizes;stylize;is stylizing;are stylizing
bestrew;bestrews;bestrew;is bestrewing;are bestrewing
father;fathers;father;is fathering;are fathering
smuggle;smuggles;smuggle;is smuggling;are smuggling
marcel;marcels;marcel;is marcelling;are marcelling
hate;hates;hate;is hating;are hating
shrine;shrines;shrine;is shrining;are shrining
gorge;gorges;gorge;is gorging;are gorging
swamp;swamps;swamp;is swamping;are swamping
contrast;contrasts;contrast;is contrasting;are contrasting
phase;phases;phase;is phasing;are phasing
disunite;disunites;disunite;is disuniting;are disuniting
fail;fails;fail;is failing;are failing
squeak;squeaks;squeak;is squeaking;are squeaking
permit;permits;permit;is permitting;are permitting
challenge;challenges;challenge;is challenging;are challenging
flirt;flirts;flirt;is flirting;are flirting
corn;corns;corn;is corning;are corning
Prussianize;Prussianizes;Prussianize;is Prussianizing;are Prussianizing
true;trues;true;is truing;are truing
parry;parries;parry;is parrying;are parrying
couch;couches;couch;is couching;are couching
airlift;airlifts;airlift;is airlifting;are airlifting
pize;pizes;pize;is pizing;are pizing
litigate;litigates;litigate;is litigating;are litigating
defy;defies;defy;is defying;are defying
tile;tiles;tile;is tiling;are tiling
squander;squanders;squander;is squandering;are squandering
fill;fills;fill;is filling;are filling
rematch;rematches;rematch;is rematching;are rematching
dissimilate;dissimilates;dissimilate;is dissimilating;are dissimilating
slim;slims;slim;is sliming;are sliming
invoice;invoices;invoice;is invoicing;are invoicing
saccharize;saccharizes;saccharize;is saccharizing;are saccharizing
hook;hooks;hook;is hooking;are hooking
notarize;notarizes;notarize;is notarizing;are notarizing
emanate;emanates;emanate;is emanating;are emanating
shy;shies;shy;is shying;are shying
shove;shoves;shove;is shoving;are shoving
spew;spews;spew;is spewing;are spewing
ruck;rucks;ruck;is rucking;are rucking
re-form;re-forms;re-form;is re-forming;are re-forming
feud;feuds;feud;is feuding;are feuding
usurp;usurps;usurp;is usurping;are usurping
intrench;intrenches;intrench;is intrenching;are intrenching
clock;clocks;clock;is clocking;are clocking
thirst;thirsts;thirst;is thirsting;are thirsting
streak;streaks;streak;is streaking;are streaking
pursue;pursues;pursue;is pursuing;are pursuing
embark;embarks;embark;is embarking;are embarking
thrombose;thromboses;thrombose;is thrombosing;are thrombosing
glimpse;glimpses;glimpse;is glimpsing;are glimpsing
English;Englishes;English;is Englishing;are Englishing
mourn;mourns;mourn;is mourning;are mourning
will;will;will;is willing;are willing
deputize;deputizes;deputize;is deputizing;are deputizing
crutch;crutches;crutch;is crutching;are crutching
lionize;lionizes;lionize;is lionizing;are lionizing
extend;extends;extend;is extending;are extending
blaspheme;blasphemes;blaspheme;is blaspheming;are blaspheming
place;places;place;is placing;are placing
dight;dights;dight;is dighting;are dighting
substract;substracts;substract;is substracting;are substracting
hash;hashes;hash;is hashing;are hashing
incept;incepts;incept;is incepting;are incepting
sojourn;sojourns;sojourn;is sojourning;are sojourning
insufflate;insufflates;insufflate;is insufflating;are insufflating
tutor;tutors;tutor;is tutoring;are tutoring
noddle;noddles;noddle;is noddling;are noddling
propagandize;propagandizes;propagandize;is propagandizing;are propagandizing
repoint;repoints;repoint;is repointing;are repointing
train;trains;train;is training;are training
transact;transacts;transact;is transacting;are transacting
summer;summers;summer;is summering;are summering
disoblige;disobliges;disoblige;is disobliging;are disobliging
conglomerate;conglomerates;conglomerate;is conglomerating;are conglomerating
offset;offsets;offset;is offsetting;are offsetting
bespangle;bespangles;bespangle;is bespangling;are bespangling
scrape;scrapes;scrape;is scraping;are scraping
grapple;grapples;grapple;is grappling;are grappling
excommunicate;excommunicates;excommunicate;is excommunicating;are excommunicating
mortar;mortars;mortar;is mortaring;are mortaring
blackball;blackballs;blackball;is blackballing;are blackballing
fidget;fidgets;fidget;is fidgeting;are fidgeting
import;imports;import;is importing;are importing
barrack;barracks;barrack;is barracking;are barracking
endamage;endamages;endamage;is endamaging;are endamaging
sequester;sequesters;sequester;is sequestering;are sequestering
about-turn;about-turns;about-turn;is about-turning;are about-turning
clear;clears;clear;is clearing;are clearing
microfilm;microfilms;microfilm;is microfilming;are microfilming
fley;fleys;fley;is fleying;are fleying
welcome;welcomes;welcome;is welcoming;are welcoming
impale;impales;impale;is impaling;are impaling
smart;smarts;smart;is smarting;are smarting
compel;compels;compel;is compelling;are compelling
beset;besets;beset;is besetting;are besetting
infatuate;infatuates;infatuate;is infatuating;are infatuating
reef;reefs;reef;is reefing;are reefing
obvert;obverts;obvert;is obverting;are obverting
fraction;fractions;fraction;is fractioning;are fractioning
triplicate;triplicates;triplicate;is triplicating;are triplicating
fur;furs;fur;is furring;are furring
backslide;backslides;backslide;is backsliding;are backsliding
strew;strews;strew;is strewing;are strewing
spawn;spawns;spawn;is spawning;are spawning
tremble;trembles;tremble;is trembling;are trembling
declare;declares;declare;is declaring;are declaring
intuit;intuits;intuit;is intuiting;are intuiting
gimme;gimmes;gimme;is gimming;are gimming
fib;fibs;fib;is fibbing;are fibbing
mummify;mummifies;mummify;is mummifying;are mummifying
sidle;sidles;sidle;is sidling;are sidling
side-dress;side-dresses;side-dress;is side-dressing;are side-dressing
decerebrate;decerebrates;decerebrate;is decerebrating;are decerebrating
saponify;saponifies;saponify;is saponifying;are saponifying
typify;typifies;typify;is typifying;are typifying
uniform;uniforms;uniform;is uniforming;are uniforming
sty;sties;sty;is stying;are stying
overmatch;overmatches;overmatch;is overmatching;are overmatching
Occidentalize;Occidentalizes;Occidentalize;is Occidentalizing;are Occidentalizing
mutilate;mutilates;mutilate;is mutilating;are mutilating
overdo;overdoes;overdo;is overdoing;are overdoing
chain-stitch;chain-stitches;chain-stitch;is chain-stitching;are chain-stitching
seep;seeps;seep;is seeping;are seeping
jiggle;jiggles;jiggle;is jiggling;are jiggling
bloat;bloats;bloat;is bloating;are bloating
examine;examines;examine;is examining;are examining
cast;casts;cast;is casting;are casting
exceed;exceeds;exceed;is exceeding;are exceeding
pan;pans;pan;is panning;are panning
hoe;hoes;hoe;is hoing;are hoing
position;positions;position;is positioning;are positioning
campaign;campaigns;campaign;is campaigning;are campaigning
whipstitch;whipstitches;whipstitch;is whipstitching;are whipstitching
grasp;grasps;grasp;is grasping;are grasping
disconcert;disconcerts;disconcert;is disconcerting;are disconcerting
tier;tiers;tier;is tiering;are tiering
posse;posse;posse;is possing;are possing
subcontract;subcontracts;subcontract;is subcontracting;are subcontracting
treadle;treadles;treadle;is treadling;are treadling
limit;limits;limit;is limiting;are limiting
kidnap;kidnaps;kidnap;is kidnapping;are kidnapping
lade;lades;lade;is lading;are lading
filiate;filiates;filiate;is filiating;are filiating
commercialize;commercializes;commercialize;is commercializing;are commercializing
jacket;jackets;jacket;is jacketing;are jacketing
guerdon;guerdons;guerdon;is guerdoning;are guerdoning
denitrify;denitrifies;denitrify;is denitrifying;are denitrifying
conserve;conserves;conserve;is conserving;are conserving
ingratiate;ingratiates;ingratiate;is ingratiating;are ingratiating
ascend;ascends;ascend;is ascending;are ascending
compliment;compliments;compliment;is complimenting;are complimenting
end;ends;end;is ending;are ending
universalize;universalizes;universalize;is universalizing;are universalizing
accompany;accompanies;accompany;is accompanying;are accompanying
holystone;holystones;holystone;is holystoning;are holystoning
quarter;quarters;quarter;is quartering;are quartering
ingurgitate;ingurgitates;ingurgitate;is ingurgitating;are ingurgitating
curve;curves;curve;is curving;are curving
flatten;flattens;flatten;is flattening;are flattening
tear;tears;tear;is tearing;are tearing
squawk;squawks;squawk;is squawking;are squawking
inmesh;inmeshes;inmesh;is inmeshing;are inmeshing
overtrade;overtrades;overtrade;is overtrading;are overtrading
forehand;forehands;forehand;is forehanding;are forehanding
plodge;plodges;plodge;is plodging;are plodging
pother;pothers;pother;is pothering;are pothering
gun;guns;gun;is gunning;are gunning
correlate;correlates;correlate;is correlating;are correlating
extrapolate;extrapolates;extrapolate;is extrapolating;are extrapolating
shade;shades;shade;is shading;are shading
assassinate;assassinates;assassinate;is assassinating;are assassinating
mobilize;mobilizes;mobilize;is mobilizing;are mobilizing
halo;halos;halo;is haloing;are haloing
embalm;embalms;embalm;is embalming;are embalming
inconvenience;inconveniences;inconvenience;is inconveniencing;are inconveniencing
postulate;postulates;postulate;is postulating;are postulating
deplore;deplores;deplore;is deploring;are deploring
de-horn;de-horns;de-horn;is de-horning;are de-horning
object;objects;object;is objecting;are objecting
claw;claws;claw;is clawing;are clawing
agonize;agonizes;agonize;is agonizing;are agonizing
pipette;pipettes;pipette;is pipetting;are pipetting
emigrate;emigrates;emigrate;is emigrating;are emigrating
desquamate;desquamates;desquamate;is desquamating;are desquamating
shell;shells;shell;is shelling;are shelling
castigate;castigates;castigate;is castigating;are castigating
emotionalize;emotionalizes;emotionalize;is emotionalizing;are emotionalizing
promote;promotes;promote;is promoting;are promoting
unspeak;unspeaks;unspeak;is unspeaking;are unspeaking
circumnavigate;circumnavigates;circumnavigate;is circumnavigating;are circumnavigating
package;packages;package;is packaging;are packaging
loosen;loosens;loosen;is loosening;are loosening
sweettalk;sweettalks;sweettalk;is sweettalking;are sweettalking
lilt;lilts;lilt;is lilting;are lilting
toast;toasts;toast;is toasting;are toasting
refill;refills;refill;is refilling;are refilling
pleat;pleats;pleat;is pleating;are pleating
dehypnotize;dehypnotizes;dehypnotize;is dehypnotizing;are dehypnotizing
contend;contends;contend;is contending;are contending
reconsider;reconsiders;reconsider;is reconsidering;are reconsidering
exacerbate;exacerbates;exacerbate;is exacerbating;are exacerbating
outshine;outshines;outshine;is outshining;are outshining
spare;spares;spare;is sparing;are sparing
earbash;earbashes;earbash;is earbashing;are earbashing
augment;augments;augment;is augmenting;are augmenting
crunch;crunches;crunch;is crunching;are crunching
taint;taints;taint;is tainting;are tainting
escribe;escribes;escribe;is escribing;are escribing
bumble;bumbles;bumble;is bumbling;are bumbling
further;furthers;further;is furthering;are furthering
freeze;freezes;freeze;is freezing;are freezing
sonnet;sonnets;sonnet;is sonneting;are sonneting
moisten;moistens;moisten;is moistening;are moistening
beat;beats;beat;is beating;are beating
westernize;westernizes;westernize;is westernizing;are westernizing
retail;retails;retail;is retailing;are retailing
temporize;temporizes;temporize;is temporizing;are temporizing
exasperate;exasperates;exasperate;is exasperating;are exasperating
despond;desponds;despond;is desponding;are desponding
orate;orates;orate;is orating;are orating
rub;rubs;rub;is rubbing;are rubbing
pulse;pulses;pulse;is pulsing;are pulsing
stain;stains;stain;is staining;are staining
modify;modifies;modify;is modifying;are modifying
backfill;backfills;backfill;is backfilling;are backfilling
submit;submits;submit;is submitting;are submitting
enroot;enroots;enroot;is enrooting;are enrooting
rejuvenesce;rejuvenesces;rejuvenesce;is rejuvenescing;are rejuvenescing
tickle;tickles;tickle;is tickling;are tickling
crossindex;crossindexes;crossindex;is crossindexing;are crossindexing
victimize;victimizes;victimize;is victimizing;are victimizing
hoop;hoops;hoop;is hooping;are hooping
alien;aliens;alien;is aliening;are aliening
misdoubt;misdoubts;misdoubt;is misdoubting;are misdoubting
marginalize;marginalizes;marginalize;is marginalizing;are marginalizing
outsell;outsells;outsell;is outselling;are outselling
jumble;jumbles;jumble;is jumbling;are jumbling
derive;derives;derive;is deriving;are deriving
accommodate;accommodates;accommodate;is accommodating;are accommodating
overturn;overturns;overturn;is overturning;are overturning
coke;cokes;coke;is coking;are coking
manicure;manicures;manicure;is manicuring;are manicuring
bustle;bustles;bustle;is bustling;are bustling
command;commands;command;is commanding;are commanding
allure;allures;allure;is alluring;are alluring
elegize;elegizes;elegize;is elegizing;are elegizing
consternate;consternates;consternate;is consternating;are consternating
loco;locos;loco;is locoing;are locoing
gloze;glozes;gloze;is glozing;are glozing
deteriorate;deteriorates;deteriorate;is deteriorating;are deteriorating
insoul;insouls;insoul;is insouling;are insouling
constringe;constringes;constringe;is constringing;are constringing
formalize;formalizes;formalize;is formalizing;are formalizing
wagon;wagons;wagon;is wagoning;are wagoning
verjuice;verjuices;verjuice;is verjuicing;are verjuicing
intone;intones;intone;is intoning;are intoning
tinsel;tinsels;tinsel;is tinselling;are tinselling
assuage;assuages;assuage;is assuaging;are assuaging
splice;splices;splice;is splicing;are splicing
smooth;smooths;smooth;is smoothing;are smoothing
waff;waffs;waff;is waffing;are waffing
powerdive;powerdives;powerdive;is powerdiving;are powerdiving
milk;milks;milk;is milking;are milking
waver;wavers;waver;is wavering;are wavering
misappropriate;misappropriates;misappropriate;is misappropriating;are misappropriating
uncover;uncovers;uncover;is uncovering;are uncovering
mortify;mortifies;mortify;is mortifying;are mortifying
multiply;multiplies;multiply;is multiplying;are multiplying
spear;spears;spear;is spearing;are spearing
beach;beaches;beach;is beaching;are beaching
inflate;inflates;inflate;is inflating;are inflating
demolish;demolishes;demolish;is demolishing;are demolishing
layer;layers;layer;is layering;are layering
dolly;dollies;dolly;is dollying;are dollying
half-volley;half-volleys;half-volley;is half-volleying;are half-volleying
host;hosts;host;is hosting;are hosting
putput;putputs;putput;is putputting;are putputting
occlude;occludes;occlude;is occluding;are occluding
fuller;fullers;fuller;is fullering;are fullering
chandelle;chandelles;chandelle;is chandelling;are chandelling
apperceive;apperceives;apperceive;is apperceiving;are apperceiving
remind;reminds;remind;is reminding;are reminding
windrow;windrows;windrow;is windrowing;are windrowing
enwrap;enwraps;enwrap;is enwrapping;are enwrapping
step;steps;step;is stepping;are stepping
tug;tugs;tug;is tugging;are tugging
licence;licences;licence;is licencing;are licencing
whisper;whispers;whisper;is whispering;are whispering
schmooze;schmoozes;schmooze;is schmoozing;are schmoozing
rubbish;rubbishes;rubbish;is rubbishing;are rubbishing
frag;frags;frag;is fragging;are fragging
marshal;marshals;marshal;is marshalling;are marshalling
decompose;decomposes;decompose;is decomposing;are decomposing
pomade;pomades;pomade;is pomading;are pomading
buffet;buffets;buffet;is buffeting;are buffeting
steeplechase;steeplechases;steeplechase;is steeplechasing;are steeplechasing
undergird;undergirds;undergird;is undergirding;are undergirding
suffice;suffices;suffice;is sufficing;are sufficing
recollect;recollects;recollect;is recollecting;are recollecting
spice;spices;spice;is spicing;are spicing
override;overrides;override;is overriding;are overriding
nauseate;nauseates;nauseate;is nauseating;are nauseating
scull;sculls;scull;is sculling;are sculling
befuddle;befuddles;befuddle;is befuddling;are befuddling
scarp;scarps;scarp;is scarping;are scarping
exuviate;exuviates;exuviate;is exuviating;are exuviating
wave;waves;wave;is waving;are waving
allot;allots;allot;is allotting;are allotting
autolyze;autolyzes;autolyze;is autolyzing;are autolyzing
outlay;outlays;outlay;is outlaying;are outlaying
diffract;diffracts;diffract;is diffracting;are diffracting
burden;burdens;burden;is burdening;are burdening
finger;fingers;finger;is fingering;are fingering
disburse;disburses;disburse;is disbursing;are disbursing
loaf;loafs;loaf;is loafing;are loafing
sken;skens;sken;is skenning;are skenning
bodycheck;bodychecks;bodycheck;is bodychecking;are bodychecking
sextuplicate;sextuplicates;sextuplicate;is sextuplicating;are sextuplicating
lackey;lackeys;lackey;is lackeying;are lackeying
shamble;shambles;shamble;is shambling;are shambling
well;wells;well;is welling;are welling
hum;hums;hum;is humming;are humming
sense;senses;sense;is sensing;are sensing
programme;programs;programme;is programming;are programming
buzz;buzzes;buzz;is buzzing;are buzzing
wad;wads;wad;is wadding;are wadding
steepen;steepens;steepen;is steepening;are steepening
misprint;misprints;misprint;is misprinting;are misprinting
thwack;thwacks;thwack;is thwacking;are thwacking
nonpros;nonprosses;nonpros;is nonprossing;are nonprossing
answer;answers;answer;is answering;are answering
nasalize;nasalizes;nasalize;is nasalizing;are nasalizing
volley;volleys;volley;is volleying;are volleying
sunk;sinks;sink;is sinking;are sinking
last;lasts;last;is lasting;are lasting
deviate;deviates;deviate;is deviating;are deviating
engrail;engrails;engrail;is engrailing;are engrailing
optimize;optimizes;optimize;is optimizing;are optimizing
gainsay;gainsays;gainsay;is gainsaying;are gainsaying
rewire;rewires;rewire;is rewiring;are rewiring
detrude;detrudes;detrude;is detruding;are detruding
assibilate;assibilates;assibilate;is assibilating;are assibilating
gargle;gargles;gargle;is gargling;are gargling
promenade;promenades;promenade;is promenading;are promenading
burgeon;burgeons;burgeon;is burgeoning;are burgeoning
prise;prises;prise;is prising;are prising
nonplus;nonplusses;nonplus;is nonplussing;are nonplussing
mute;mutes;mute;is muting;are muting
alternate;alternates;alternate;is alternating;are alternating
inlay;inlays;inlay;is inlaying;are inlaying
fool;fools;fool;is fooling;are fooling
tut-tut;tut-tuts;tut-tut;is tut-tutting;are tut-tutting
jagg;jags;jagg;is jagging;are jagging
evaporate;evaporates;evaporate;is evaporating;are evaporating
mulct;mulcts;mulct;is mulcting;are mulcting
assign;assigns;assign;is assigning;are assigning
beautify;beautifies;beautify;is beautifying;are beautifying
blush;blushes;blush;is blushing;are blushing
retaliate;retaliates;retaliate;is retaliating;are retaliating
descale;descales;descale;is descaling;are descaling
nourish;nourishes;nourish;is nourishing;are nourishing
panic;panics;panic;is panicking;are panicking
bowdlerize;bowdlerizes;bowdlerize;is bowdlerizing;are bowdlerizing
disprize;disprizes;disprize;is disprizing;are disprizing
warble;warbles;warble;is warbling;are warbling
surcease;surceases;surcease;is surceasing;are surceasing
curtsy;curtsies;curtsy;is curtsying;are curtsying
recondition;reconditions;recondition;is reconditioning;are reconditioning
impute;imputes;impute;is imputing;are imputing
irrupt;irrupts;irrupt;is irrupting;are irrupting
disburden;disburdens;disburden;is disburdening;are disburdening
bottleneck;bottlenecks;bottleneck;is bottlenecking;are bottlenecking
speculate;speculates;speculate;is speculating;are speculating
shackle;shackles;shackle;is shackling;are shackling
undercapitalize;undercapitalizes;undercapitalize;is undercapitalizing;are undercapitalizing
flinch;flinches;flinch;is flinching;are flinching
misguide;misguides;misguide;is misguiding;are misguiding
hose;hoses;hose;is hosing;are hosing
prevaricate;prevaricates;prevaricate;is prevaricating;are prevaricating
fine-draw;fine-draws;fine-draw;is fine-drawing;are fine-drawing
choose;chooses;choose;is choosing;are choosing
snowshoe;snowshoes;snowshoe;is snowshoeing;are snowshoeing
perk;perks;perk;is perking;are perking
moat;moats;moat;is moating;are moating
guess;guesses;guess;is guessing;are guessing
remonstrate;remonstrates;remonstrate;is remonstrating;are remonstrating
wrestle;wrestles;wrestle;is wrestling;are wrestling
spar;spars;spar;is sparring;are sparring
howl;howls;howl;is howling;are howling
accord;accords;accord;is according;are according
censure;censures;censure;is censuring;are censuring
indict;indicts;indict;is indicting;are indicting
marble;marbles;marble;is marbling;are marbling
scrimp;scrimps;scrimp;is scrimping;are scrimping
interbreed;interbreeds;interbreed;is interbreeding;are interbreeding
roose;rooses;roose;is roosing;are roosing
surf;surfs;surf;is surfing;are surfing
incardinate;incardinates;incardinate;is incardinating;are incardinating
wont;wonts;wont;is wonting;are wonting
profiteer;profiteers;profiteer;is profiteering;are profiteering
fine;fines;fine;is fining;are fining
vacate;vacates;vacate;is vacating;are vacating
jaup;jaups;jaup;is jauping;are jauping
intergrade;intergrades;intergrade;is intergrading;are intergrading
silver-plate;silver-plates;silver-plate;is silver-plating;are silver-plating
gloom;glooms;gloom;is glooming;are glooming
plash;plashes;plash;is plashing;are plashing
warm;warms;warm;is warming;are warming
